time,open,high,low,close,Volume,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fisher,Signale,Long,Short,Upper UI Constraint,Lower UI Constraint,OB Level 2,OB Level 1,Zero,OS Level 1,OS Level 2,Fish1,Fish2,unFish,length,Long,Short
2023-05-12,30.57,30.9,30.14,30.4,1030304,3.5,-3.5,3,2,0,-2,-3,-0.13522157083067907,0.45928477694649167,0,0,3.5,-3.5,3,2,0,-2,-3,-0.13522157083067907,0.45928477694649167,-0.34949112670830446,13,0,0
2023-05-15,30.78,31.03,30.4601,30.67,529100,3.5,-3.5,3,2,0,-2,-3,-0.6639681155466802,-0.13522157083067907,0,0,3.5,-3.5,3,2,0,-2,-3,-0.6639681155466802,-0.13522157083067907,-0.534452454894564,12,0,0
2023-05-16,30.37,30.65,29.55,29.85,803037,3.5,-3.5,3,2,0,-2,-3,-1.1762901916290165,-0.6639681155466802,0,0,3.5,-3.5,3,2,0,-2,-3,-1.1762901916290165,-0.6639681155466802,-0.688083144779358,10,0,0
2023-05-17,30.1,30.14,29.35,29.91,608079,3.5,-3.5,3,2,0,-2,-3,-1.6622846337965782,-1.1762901916290165,0,0,3.5,-3.5,3,2,0,-2,-3,-1.6622846337965782,-1.1762901916290165,-0.7910157070021699,12,0,0
2023-05-18,29.25,29.31,28.76,29.14,946151,3.5,-3.5,3,2,0,-2,-3,-2.124412199946129,-1.6622846337965782,0,0,3.5,-3.5,3,2,0,-2,-3,-2.124412199946129,-1.6622846337965782,-0.859980523691454,13,0,0
2023-05-19,29.52,30.48,29.19,29.99,1247465,3.5,-3.5,3,2,0,-2,-3,-2.2337556767231526,-2.124412199946129,0,0,3.5,-3.5,3,2,0,-2,-3,-2.2337556767231526,-2.124412199946129,-0.8247682924307144,13,0,0
2023-05-22,29.85,30.13,29.42,29.435,684338,3.5,-3.5,3,2,0,-2,-3,-2.2145867584307077,-2.2337556767231526,1,0,3.5,-3.5,3,2,0,-2,-3,-2.2145867584307077,-2.2337556767231526,-0.7996745521934345,12,1,0
2023-05-23,29.08,29.4826,28.85,28.96,698604,3.5,-3.5,3,2,0,-2,-3,-2.367311903419531,-2.2145867584307077,0,1,3.5,-3.5,3,2,0,-2,-3,-2.367311903419531,-2.2145867584307077,-0.8510692165230818,12,0,1
2023-05-24,28.65,28.73,27.89,27.95,745448,3.5,-3.5,3,2,0,-2,-3,-2.657015426356721,-2.367311903419531,0,0,3.5,-3.5,3,2,0,-2,-3,-2.657015426356721,-2.367311903419531,-0.9002163750704648,12,0,0
2023-05-25,27.94,28.01,27.1,27.16,841453,3.5,-3.5,3,2,0,-2,-3,-3.0106961882208805,-2.657015426356721,0,0,3.5,-3.5,3,2,0,-2,-3,-3.0106961882208805,-2.657015426356721,-0.9331449712972115,13,0,0
2023-05-26,28.21,28.65,27.8813,28.56,661766,3.5,-3.5,3,2,0,-2,-3,-2.9293176966029213,-3.0106961882208805,1,0,3.5,-3.5,3,2,0,-2,-3,-2.9293176966029213,-3.0106961882208805,-0.8904241197194078,14,1,0
2023-05-30,28.16,28.47,27.83,28.3,689941,3.5,-3.5,3,2,0,-2,-3,-2.6550067150083003,-2.9293176966029213,0,0,3.5,-3.5,3,2,0,-2,-3,-2.6550067150083003,-2.9293176966029213,-0.8306867243145677,13,0,0
2023-05-31,28.53,29.3284,27.95,29.12,1036985,3.5,-3.5,3,2,0,-2,-3,-2.124307613518698,-2.6550067150083003,0,0,3.5,-3.5,3,2,0,-2,-3,-2.124307613518698,-2.6550067150083003,-0.6622463798005644,13,0,0
2023-06-01,29.06,30.0766,29,29.96,595825,3.5,-3.5,3,2,0,-2,-3,-1.442921033453071,-2.124307613518698,0,0,3.5,-3.5,3,2,0,-2,-3,-1.442921033453071,-2.124307613518698,-0.3633735749601008,14,0,0
2023-06-02,30.06,30.11,29.16,29.28,612901,3.5,-3.5,3,2,0,-2,-3,-0.8655721555997767,-1.442921033453071,0,0,3.5,-3.5,3,2,0,-2,-3,-0.8655721555997767,-1.442921033453071,-0.14312221274807152,14,0,0
2023-06-05,28.83,29.46,28.6277,29.16,516398,3.5,-3.5,3,2,0,-2,-3,-0.47259248881052457,-0.8655721555997767,0,0,3.5,-3.5,3,2,0,-2,-3,-0.47259248881052457,-0.8655721555997767,-0.039785399240618954,14,0,0
2023-06-06,29.07,29.298,28.54,29.17,306847,3.5,-3.5,3,2,0,-2,-3,-0.19809177997412974,-0.47259248881052457,0,0,3.5,-3.5,3,2,0,-2,-3,-0.19809177997412974,-0.47259248881052457,0.03818588777194222,14,0,0
2023-06-07,29.31,30.388,28.79,28.83,580057,3.5,-3.5,3,2,0,-2,-3,0.19338864761826285,-0.19809177997412974,0,0,3.5,-3.5,3,2,0,-2,-3,0.19338864761826285,-0.19809177997412974,0.28437401849141125,14,0,0
2023-06-08,30.18,31.12,30.18,30.94,943841,3.5,-3.5,3,2,0,-2,-3,0.6737615914009103,0.19338864761826285,0,0,3.5,-3.5,3,2,0,-2,-3,0.6737615914009103,0.19338864761826285,0.5205305923892456,14,0,0
2023-06-09,30.81,31.52,30.68,30.9,523351,3.5,-3.5,3,2,0,-2,-3,1.1636835442731333,0.6737615914009103,0,0,3.5,-3.5,3,2,0,-2,-3,1.1636835442731333,0.6737615914009103,0.6787554969007945,14,0,0
2023-06-12,30.21,30.38,29.87,30.33,433679,3.5,-3.5,3,2,0,-2,-3,1.2800714964062734,1.1636835442731333,0,0,3.5,-3.5,3,2,0,-2,-3,1.2800714964062734,1.1636835442731333,0.6032429107091457,14,0,0
2023-06-13,30.43,30.6186,29.15,29.37,717773,3.5,-3.5,3,2,0,-2,-3,1.199845822104264,1.2800714964062734,0,1,3.5,-3.5,3,2,0,-2,-3,1.199845822104264,1.2800714964062734,0.507836501938174,13,0,1
2023-06-14,30.01,30.39,29.5,29.94,497586,3.5,-3.5,3,2,0,-2,-3,1.0377523774041062,1.199845822104264,0,0,3.5,-3.5,3,2,0,-2,-3,1.0377523774041062,1.199845822104264,0.4118436766375596,12,0,0
2023-06-15,29.14,29.91,29.1352,29.91,615552,3.5,-3.5,3,2,0,-2,-3,0.7775187458679602,1.0377523774041062,0,0,3.5,-3.5,3,2,0,-2,-3,0.7775187458679602,1.0377523774041062,0.2530254328386905,13,0,0
2023-06-16,30.28,30.66,29.8587,30.5,501216,3.5,-3.5,3,2,0,-2,-3,0.6700077832484915,0.7775187458679602,0,0,3.5,-3.5,3,2,0,-2,-3,0.6700077832484915,0.7775187458679602,0.274060118675524,13,0,0
2023-06-20,28.44,28.49,27.7301,28.03,1247469,3.5,-3.5,3,2,0,-2,-3,0.18756502698062338,0.6700077832484915,0,0,3.5,-3.5,3,2,0,-2,-3,0.18756502698062338,0.6700077832484915,-0.14637972048739895,11,0,0
2023-06-21,27.15,27.2184,26.3516,26.85,1116924,3.5,-3.5,3,2,0,-2,-3,-0.3637541667879756,0.18756502698062338,0,0,3.5,-3.5,3,2,0,-2,-3,-0.3637541667879756,0.18756502698062338,-0.42807441272655733,11,0,0
2023-06-22,26.25,26.47,25.84,26.04,757235,3.5,-3.5,3,2,0,-2,-3,-0.9017165525180286,-0.3637541667879756,0,0,3.5,-3.5,3,2,0,-2,-3,-0.9017165525180286,-0.3637541667879756,-0.6168098565267934,10,0,0
2023-06-23,26.36,26.82,25.87,26.14,706852,3.5,-3.5,3,2,0,-2,-3,-1.3541639570184527,-0.9017165525180286,0,0,3.5,-3.5,3,2,0,-2,-3,-1.3541639570184527,-0.9017165525180286,-0.7179036554401916,10,0,0
2023-06-26,26.84,27.25,26.591,27.01,486494,3.5,-3.5,3,2,0,-2,-3,-1.5619015542794938,-1.3541639570184527,0,0,3.5,-3.5,3,2,0,-2,-3,-1.5619015542794938,-1.3541639570184527,-0.7088255805908334,11,0,0
2023-06-27,27.69,27.76,26.96,27.25,472864,3.5,-3.5,3,2,0,-2,-3,-1.4916946985157524,-1.5619015542794938,1,0,3.5,-3.5,3,2,0,-2,-3,-1.4916946985157524,-1.5619015542794938,-0.6111431145096428,11,1,0
2023-06-28,26.93,27.24,26.5,26.88,415922,3.5,-3.5,3,2,0,-2,-3,-1.4781799094373038,-1.4916946985157524,0,0,3.5,-3.5,3,2,0,-2,-3,-1.4781799094373038,-1.4916946985157524,-0.6244903120263207,11,0,0
2023-06-29,26.05,26.73,25.79,26.51,644818,3.5,-3.5,3,2,0,-2,-3,-1.67108777056181,-1.4781799094373038,0,1,3.5,-3.5,3,2,0,-2,-3,-1.67108777056181,-1.4781799094373038,-0.731523984102405,11,0,1
2023-06-30,26.28,27.1085,26.08,26.95,598118,3.5,-3.5,3,2,0,-2,-3,-1.8073284980292348,-1.67108777056181,0,0,3.5,-3.5,3,2,0,-2,-3,-1.8073284980292348,-1.67108777056181,-0.7494874732858978,11,0,0
2023-07-03,27.36,27.6648,27.17,27.2,433449,3.5,-3.5,3,2,0,-2,-3,-1.6436828104105383,-1.8073284980292348,1,0,3.5,-3.5,3,2,0,-2,-3,-1.6436828104105383,-1.8073284980292348,-0.6291563756398096,11,1,0
2023-07-05,28.1,28.14,27.51,27.84,713336,3.5,-3.5,3,2,0,-2,-3,-1.0118598745453076,-1.6436828104105383,0,0,3.5,-3.5,3,2,0,-2,-3,-1.0118598745453076,-1.6436828104105383,-0.18776402412745832,11,0,0
2023-07-06,27.27,27.28,26.35,26.77,761164,3.5,-3.5,3,2,0,-2,-3,-0.7432832560374821,-1.0118598745453076,0,0,3.5,-3.5,3,2,0,-2,-3,-0.7432832560374821,-1.0118598745453076,-0.23299429533677374,12,0,0
2023-07-07,27,27.83,27,27.69,788754,3.5,-3.5,3,2,0,-2,-3,-0.3597831782130938,-0.7432832560374821,0,0,3.5,-3.5,3,2,0,-2,-3,-0.3597831782130938,-0.7432832560374821,0.011857893980647738,11,0,0
2023-07-10,27.31,27.8419,27.3,27.8,668250,3.5,-3.5,3,2,0,-2,-3,0.055148526613438414,-0.3597831782130938,0,0,3.5,-3.5,3,2,0,-2,-3,0.055148526613438414,-0.3597831782130938,0.23080549184243243,11,0,0
2023-07-11,27.81,27.98,27.51,27.73,430670,3.5,-3.5,3,2,0,-2,-3,0.5134057265084557,0.055148526613438414,0,0,3.5,-3.5,3,2,0,-2,-3,0.5134057265084557,0.055148526613438414,0.45090166036510004,10,0,0
2023-07-12,29.59,30.23,29.51,30.17,1119848,3.5,-3.5,3,2,0,-2,-3,1.0016155352491745,0.5134057265084557,0,0,3.5,-3.5,3,2,0,-2,-3,1.0016155352491745,0.5134057265084557,0.6321041124446171,11,0,0
2023-07-13,31.13,31.92,30.94,31.92,899702,3.5,-3.5,3,2,0,-2,-3,1.4818338754368412,1.0016155352491745,0,0,3.5,-3.5,3,2,0,-2,-3,1.4818338754368412,1.0016155352491745,0.7535097553378935,10,0,0
2023-07-14,31.96,32.43,31.79,32.11,800743,3.5,-3.5,3,2,0,-2,-3,1.9448539375934026,1.4818338754368412,0,0,3.5,-3.5,3,2,0,-2,-3,1.9448539375934026,1.4818338754368412,0.8348515360763886,10,0,0
2023-07-17,31.66,32.01,31.3125,31.98,501139,3.5,-3.5,3,2,0,-2,-3,2.171644180222966,1.9448539375934026,0,0,3.5,-3.5,3,2,0,-2,-3,2.171644180222966,1.9448539375934026,0.8334156849785459,10,0,0
2023-07-18,31.99,32.82,31.7577,32.47,632089,3.5,-3.5,3,2,0,-2,-3,2.5000496363118905,2.171644180222966,0,0,3.5,-3.5,3,2,0,-2,-3,2.5000496363118905,2.171644180222966,0.8883885089356258,10,0,0
